future_horizon_6,future_horizon_12,future_horizon_18,future_horizon_24,future_horizon_30,future_horizon_36,future_horizon_42,future_horizon_48,future_horizon_54,future_horizon_60,future_horizon_66,future_horizon_72
39.95826236469359,82.25990220113769,120.57590648582563,135.79154974843263,191.84013023379944,164.76145854825631,45.02218851514664,11.042332734455373,10.634465646262786,276.2510503331762,370.5701451760797,202.132399326538
28.47911019996613,44.157422099034854,48.32635624868124,38.647741611122406,63.15617280988115,102.26249993442057,141.9821466211553,99.00750747904672,87.87901386422902,109.93966084582804,95.41392357201372,131.14684313987172
28.148852978805007,56.94437640069605,48.938312511534,56.66497897059493,17.028851686178232,29.389435167577147,89.8776398552245,59.52471492741626,43.83602873114571,60.45979223019247,69.6686211215496,71.08091341012276
26.494255603753935,19.142640925781155,123.28033988835462,24.593014222641546,34.605433561500995,80.15424460279306,50.04669641497067,156.69215840054548,163.87295487210733,150.11479538931704,177.7617388280091,200.07193613385303
17.67501400674146,94.33645532844605,145.0545062937756,207.2283621429109,133.74882764124774,143.36715581315656,191.29053882597748,293.63461337436905,336.4442723985592,401.7778080521712,579.6476449105081,623.1068999598943
47.564145037509775,123.73627897087991,177.50357996859893,108.10291573912906,145.72542881759114,165.12028952269645,93.39456103619489,55.039561528886615,144.741400486362,107.5666378453731,179.90075583117058,230.81954639171772
52.88558573887356,206.15679972209819,165.2607726163813,44.56461158175387,98.07077510676972,615.6481562193134,214.3434493614268,277.2668105752893,432.59944771528393,790.5103723208733,69.78379163487932,374.0777587624456
28.046882939619245,91.42853645750358,22.04000418026946,55.82584193799435,20.328836497298383,198.65439575020397,219.83375341741694,84.09091292258042,87.9866959512836,484.01650758604166,860.3119101195091,1245.9574235613297
48.24011115874948,72.88402647814384,60.640791515003706,108.64601238444035,44.451527584565966,208.69987227119063,190.1011429306297,346.9068631103749,691.342065825956,92.21198124914571,443.15947840211504,648.7350577147475
61.19457558357256,20.0939367236114,131.42395983033356,35.71659282787596,105.60362031517698,137.9514529349777,103.20365507667461,103.6667359773,100.88892687544359,291.49795100761594,255.6964065281517,201.00942317780385
38.33730778925939,128.83305414903245,248.01376387821568,262.39316352278945,277.5083167075978,30.01579044529253,368.23982746244525,343.2643338336711,757.4915559962603,76.7172467621096,303.10772869412017,543.716931693827
14.42794192390418,16.564298777980255,70.46906936461657,80.28889007620033,48.76625466097306,79.60850383093592,39.585014725439905,174.23819194653626,169.03644128166903,334.38339391903577,234.37986528346087,570.5486265401818
39.44254944003925,55.32419177961875,99.27159470229134,27.915923306567997,70.48033523078523,221.38152719128766,221.82898160401498,137.68626273935766,127.44988469060289,391.9698384583467,469.52565462539604,410.9229477364653
